Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A1088,Data Analytcis Course,195.0,5935.0,209.68,23.0,9.0,4.615384615384616,1966.0,2024-11-07,Hyderabad,tablet,online data analytic
A1089,DataAnalyticsCourse,176.0,5847.0,241.04,13.0,6.0,3.4090909090909087,1194.0,2024-11-02,Hyderabad,DESKTOP,online data analytic
A1092,Data Anlytics Corse,112.0,3345.0,215.57,11.0,6.0,5.357142857142857,1859.0,2024-11-23,Hyderabad,TABLET,analytics for data
A1094,Data Analytcis Course,145.0,5004.0,216.45,22.0,5.0,3.4482758620689653,1496.0,2024-11-01,Hyderabad,tablet,data analitics online
A1095,Data Anlytics Corse,183.0,3947.0,197.3,15.0,8.0,4.371584699453552,1645.0,2024-11-14,Hyderabad,Desktop,data anaytics training
A1096,DataAnalyticsCourse,113.0,3690.0,229.42,20.0,5.0,4.424778761061947,1915.0,2024-11-28,Hyderabad,tablet,learn data analytics
A1097,Data Analytcis Course,101.0,5943.0,187.32,27.0,6.0,5.9405940594059405,1614.0,2024-11-15,Hyderabad,TABLET,data analitics online
A1098,DataAnalyticsCourse,189.0,5357.0,222.5,24.0,3.0,1.5873015873015872,1839.0,2024-11-25,Hyderabad,tablet,data analytics course
A1100,Data Anlytics Corse,179.0,5162.0,246.76,16.0,5.0,2.793296089385475,1052.0,2024-11-29,Hyderabad,DESKTOP,online data analytic
A1102,Data Anlytics Corse,177.0,4822.0,197.03,26.0,9.0,5.084745762711865,1909.0,2024-11-04,Hyderabad,Mobile,online data analytic
A1106,Data Analytics Corse,109.0,4128.0,183.65,12.0,5.0,4.587155963302752,1505.0,2024-11-30,Hyderabad,Desktop,data analitics online
A1107,Data Anlytics Corse,159.0,5127.0,197.16,21.0,4.0,2.515723270440252,1867.0,2024-11-03,Hyderabad,tablet,learn data analytics
A1108,Data Anlytics Corse,144.0,5674.0,235.36,12.0,3.0,2.083333333333333,1505.0,2024-11-22,Hyderabad,desktop,analytics for data
A1109,Data Anlytics Corse,122.0,3793.0,237.22,19.0,8.0,6.557377049180328,1842.0,2024-11-20,Hyderabad,tablet,online data analytic
A1112,Data Analytics Corse,168.0,3349.0,235.6,23.0,9.0,5.357142857142857,1894.0,2024-11-09,Hyderabad,Mobile,online data analytic
A1118,Data Anlytics Corse,172.0,3889.0,215.57,21.0,10.0,5.813953488372093,1766.0,2024-11-16,Hyderabad,TABLET,online data analytic
A1121,DataAnalyticsCourse,113.0,5471.0,215.57,27.0,9.0,7.964601769911504,1123.0,2024-11-23,Hyderabad,Mobile,analytics for data
A1122,Data Analytics Corse,109.0,3550.0,240.33,14.0,8.0,7.339449541284404,1982.0,2024-11-24,Hyderabad,Tablet,learn data analytics
A1124,DataAnalyticsCourse,96.0,4673.0,192.88,24.0,5.0,5.208333333333334,1962.0,2024-11-10,Hyderabad,MOBILE,learn data analytics
A1125,Data Analytcis Course,110.0,4254.0,187.87,11.0,4.0,3.6363636363636362,1172.0,2024-11-04,Hyderabad,MOBILE,data anaytics training
A1126,Data Anlytics Corse,163.0,3658.0,237.63,23.0,7.0,4.294478527607362,1699.0,2024-11-23,Hyderabad,TABLET,online data analytic
A1127,DataAnalyticsCourse,161.0,5319.0,235.98,13.0,4.0,2.484472049689441,1423.0,2024-11-18,Hyderabad,Mobile,learn data analytics
A1131,Data Analytics Corse,117.0,3809.0,225.14,12.0,5.0,4.273504273504273,1495.0,2024-11-09,Hyderabad,DESKTOP,data anaytics training
A1132,DataAnalyticsCourse,135.0,5118.0,219.99,27.0,6.0,4.444444444444445,1089.0,2024-11-20,Hyderabad,MOBILE,online data analytic
A1135,Data Analytcis Course,101.0,4724.0,228.38,13.0,7.0,6.9306930693069315,1243.0,2024-11-20,Hyderabad,Desktop,learn data analytics
A1136,Data Anlytics Corse,111.0,5895.0,205.25,29.0,4.0,3.6036036036036037,1693.0,2024-11-04,Hyderabad,Mobile,data analytics course
A1138,Data Analytcis Course,99.0,3169.0,237.68,21.0,6.0,6.0606060606060606,1509.0,2024-11-22,Hyderabad,Mobile,online data analytic
A1145,Data Anlytics Corse,174.0,4838.0,242.35,21.0,3.0,1.7241379310344827,1599.0,2024-11-22,Hyderabad,desktop,data analitics online
A1146,Data Analytics Corse,196.0,4524.0,192.01,15.0,8.0,4.081632653061225,1048.0,2024-11-13,Hyderabad,desktop,data analytics course
A1147,Data Analytics Corse,194.0,4694.0,228.15,17.0,7.0,3.608247422680412,1874.0,2024-11-14,Hyderabad,Tablet,learn data analytics
A1150,Data Anlytics Corse,153.0,4367.0,184.51,29.0,9.0,5.88235294117647,1507.0,2024-11-13,Hyderabad,MOBILE,analytics for data
A1152,Data Analytics Corse,116.0,3901.0,215.57,21.0,4.0,3.4482758620689653,1483.0,2024-11-13,Hyderabad,Tablet,online data analytic
A1153,Data Analytics Corse,156.0,3335.0,236.98,29.0,7.0,4.487179487179487,1143.0,2024-11-14,Hyderabad,desktop,data analytics course
A1160,Data Anlytics Corse,160.0,4507.0,245.87,11.0,6.0,3.75,1505.0,2024-11-05,Hyderabad,DESKTOP,analytics for data
A1161,Data Anlytics Corse,143.0,3901.0,191.38,29.0,4.0,2.797202797202797,1786.0,2024-11-24,Hyderabad,MOBILE,learn data analytics
A1174,Data Analytcis Course,97.0,3605.0,240.29,21.0,7.0,7.216494845360824,1682.0,2024-11-10,Hyderabad,Desktop,data analitics online
A1176,Data Anlytics Corse,131.0,5352.0,225.86,24.0,10.0,7.633587786259542,1961.0,2024-11-20,Hyderabad,mobile,online data analytic
A1178,DataAnalyticsCourse,93.0,4308.0,209.83,19.0,9.0,9.67741935483871,1694.0,2024-11-20,Hyderabad,mobile,data analytics course
A1182,Data Anlytics Corse,186.0,3337.0,183.58,16.0,8.0,4.301075268817205,1045.0,2024-11-30,Hyderabad,Desktop,online data analytic
A1185,Data Analytcis Course,129.0,3208.0,204.2,18.0,8.0,6.2015503875969,1456.0,2024-11-29,Hyderabad,Desktop,learn data analytics
A1186,Data Anlytics Corse,187.0,5972.0,220.64,30.0,7.0,3.7433155080213902,1980.0,2024-11-14,Hyderabad,Desktop,data analytics course
A1187,Data Analytics Corse,167.0,3662.0,235.43,10.0,7.0,4.191616766467066,1684.0,2024-11-25,Hyderabad,MOBILE,data anaytics training
A1191,Data Analytics Corse,140.0,5638.0,208.02,22.0,5.0,3.571428571428571,1652.0,2024-11-18,Hyderabad,desktop,data anaytics training
A1192,Data Analytics Corse,157.0,5825.0,230.6,16.0,3.0,1.910828025477707,1041.0,2024-11-16,Hyderabad,desktop,data anaytics training
A1195,DataAnalyticsCourse,154.0,3638.0,182.17,11.0,8.0,5.194805194805195,1413.0,2024-11-04,Hyderabad,mobile,online data analytic
A1197,Data Analytcis Course,140.0,5016.0,238.59,26.0,9.0,6.428571428571428,1620.0,2024-11-20,Hyderabad,Mobile,data analitics online
A1201,Data Analytcis Course,138.0,3971.0,184.87,28.0,3.0,2.1739130434782608,1718.0,2024-11-07,Hyderabad,TABLET,learn data analytics
A1204,Data Analytcis Course,138.0,4426.0,203.75,24.0,10.0,7.246376811594203,1838.0,2024-11-05,Hyderabad,MOBILE,data analytics course
A1205,DataAnalyticsCourse,108.0,4080.0,247.8,18.0,4.0,3.7037037037037033,1363.0,2024-11-30,Hyderabad,Tablet,online data analytic
A1206,Data Anlytics Corse,150.0,4113.0,219.67,12.0,7.0,4.666666666666667,1196.0,2024-11-22,Hyderabad,MOBILE,learn data analytics
A1208,Data Analytics Corse,98.0,3422.0,223.55,17.0,7.0,7.142857142857142,1414.0,2024-11-19,Hyderabad,TABLET,online data analytic
A1210,Data Analytcis Course,199.0,4507.0,199.98,15.0,8.0,4.0201005025125625,1467.0,2024-11-08,Hyderabad,tablet,data anaytics training
A1212,Data Anlytics Corse,118.0,3970.0,215.57,27.0,9.0,7.627118644067797,1036.0,2024-11-19,Hyderabad,desktop,data analytics course
A1215,Data Anlytics Corse,126.0,4206.0,233.76,29.0,10.0,7.936507936507936,1998.0,2024-11-06,Hyderabad,tablet,online data analytic
A1216,Data Anlytics Corse,199.0,4745.0,215.57,13.0,9.0,4.522613065326634,1800.0,2024-11-28,Hyderabad,tablet,analytics for data
A1217,DataAnalyticsCourse,92.0,4042.0,200.75,15.0,7.0,7.608695652173914,1234.0,2024-11-24,Hyderabad,TABLET,learn data analytics
A1218,Data Anlytics Corse,140.0,4883.0,249.61,10.0,3.0,2.142857142857143,1464.0,2024-11-12,Hyderabad,Tablet,online data analytic
A1220,Data Anlytics Corse,135.0,3480.0,224.94,11.0,4.0,2.9629629629629632,1398.0,2024-11-23,Hyderabad,Tablet,data analitics online
A1222,Data Analytics Corse,117.0,3380.0,186.73,21.0,10.0,8.547008547008547,1958.0,2024-11-19,Hyderabad,desktop,data anaytics training
A1224,Data Analytcis Course,132.0,4490.0,202.45,10.0,7.0,5.303030303030303,1441.0,2024-11-10,Hyderabad,mobile,data analitics online
A1227,Data Anlytics Corse,163.0,5643.0,217.4,30.0,6.0,3.6809815950920246,1678.0,2024-11-01,Hyderabad,DESKTOP,data analitics online
A1232,Data Anlytics Corse,101.0,4507.0,234.17,29.0,5.0,4.9504950495049505,1568.0,2024-11-27,Hyderabad,mobile,data anaytics training
A1234,Data Anlytics Corse,95.0,4562.0,187.62,24.0,9.0,9.473684210526317,1239.0,2024-11-26,Hyderabad,Desktop,data anaytics training
A1236,Data Analytics Corse,192.0,5852.0,181.05,16.0,8.0,4.166666666666666,1600.0,2024-11-21,Hyderabad,DESKTOP,analytics for data
A1242,DataAnalyticsCourse,123.0,5231.0,202.93,30.0,10.0,8.130081300813007,1551.0,2024-11-23,Hyderabad,Desktop,online data analytic
A1245,Data Anlytics Corse,111.0,5847.0,196.71,21.0,9.0,8.108108108108109,1445.0,2024-11-30,Hyderabad,mobile,online data analytic
A1248,DataAnalyticsCourse,166.0,5592.0,183.03,22.0,4.0,2.4096385542168677,1636.0,2024-11-22,Hyderabad,TABLET,online data analytic
A1252,Data Anlytics Corse,158.0,4780.0,247.2,23.0,9.0,5.69620253164557,1005.0,2024-11-24,Hyderabad,DESKTOP,learn data analytics
A1261,Data Analytcis Course,188.0,3859.0,211.83,30.0,9.0,4.787234042553192,1719.0,2024-11-28,Hyderabad,MOBILE,online data analytic
A1263,Data Analytics Corse,143.0,5340.0,215.57,20.0,9.0,6.293706293706294,1223.0,2024-11-05,Hyderabad,tablet,online data analytic
A1266,Data Analytics Corse,186.0,3424.0,201.81,27.0,3.0,1.6129032258064515,1337.0,2024-11-26,Hyderabad,DESKTOP,data anaytics training
A1267,Data Analytcis Course,120.0,4060.0,210.95,24.0,9.0,7.5,1376.0,2024-11-05,Hyderabad,tablet,data analitics online
A1272,Data Analytcis Course,95.0,4141.0,207.14,22.0,3.0,3.1578947368421053,1929.0,2024-11-11,Hyderabad,Tablet,learn data analytics
A1273,Data Anlytics Corse,183.0,4791.0,232.97,27.0,5.0,2.73224043715847,1476.0,2024-11-21,Hyderabad,desktop,data analitics online
A1276,Data Analytcis Course,90.0,3577.0,233.54,24.0,5.0,5.555555555555555,1175.0,2024-11-14,Hyderabad,tablet,analytics for data
A1277,Data Analytics Corse,148.0,4469.0,209.76,25.0,8.0,5.405405405405405,1505.0,2024-11-25,Hyderabad,tablet,data analytics course
A1278,Data Analytcis Course,129.0,3611.0,227.82,11.0,7.0,5.426356589147287,1250.0,2024-11-22,Hyderabad,tablet,data anaytics training
A1280,Data Analytcis Course,82.0,4239.0,191.75,23.0,8.0,9.75609756097561,1062.0,2024-11-22,Hyderabad,Mobile,learn data analytics
A1281,Data Analytics Corse,145.0,5973.0,242.16,12.0,7.0,4.827586206896552,1508.0,2024-11-14,Hyderabad,Tablet,online data analytic
A1283,Data Anlytics Corse,137.0,4395.0,241.58,24.0,4.0,2.9197080291970803,1512.0,2024-11-06,Hyderabad,desktop,online data analytic
A1286,Data Analytics Corse,149.0,3101.0,231.44,15.0,9.0,6.0402684563758395,1126.0,2024-11-06,Hyderabad,Tablet,data anaytics training
A1297,DataAnalyticsCourse,173.0,3977.0,229.82,30.0,5.0,2.8901734104046244,1584.0,2024-11-22,Hyderabad,Desktop,learn data analytics
A1301,Data Analytcis Course,113.0,5721.0,216.7,11.0,6.0,5.3097345132743365,1743.0,2024-11-17,Hyderabad,Desktop,data anaytics training
A1304,Data Anlytics Corse,162.0,5915.0,211.96,11.0,7.0,4.320987654320987,1394.0,2024-11-20,Hyderabad,Tablet,analytics for data
A1305,Data Analytcis Course,140.0,4450.0,219.21,16.0,10.0,7.142857142857142,1917.0,2024-11-10,Hyderabad,mobile,learn data analytics
A1306,DataAnalyticsCourse,136.0,5782.0,189.65,23.0,6.0,4.411764705882353,1951.0,2024-11-11,Hyderabad,Tablet,data anaytics training
A1307,DataAnalyticsCourse,192.0,4339.0,245.57,24.0,8.0,4.166666666666666,1284.0,2024-11-18,Hyderabad,mobile,learn data analytics
A1308,Data Anlytics Corse,147.0,5870.0,215.57,14.0,8.0,5.442176870748299,1748.0,2024-11-02,Hyderabad,MOBILE,data anaytics training
A1310,DataAnalyticsCourse,192.0,5130.0,184.63,19.0,4.0,2.083333333333333,1087.0,2024-11-07,Hyderabad,DESKTOP,data analytics course
A1312,Data Analytics Corse,199.0,5290.0,218.55,20.0,7.0,3.5175879396984926,1234.0,2024-11-30,Hyderabad,tablet,learn data analytics
A1316,DataAnalyticsCourse,146.0,3757.0,192.59,25.0,9.0,6.164383561643835,1169.0,2024-11-09,Hyderabad,DESKTOP,online data analytic
A1317,Data Analytcis Course,192.0,4225.0,242.0,24.0,6.0,3.125,1032.0,2024-11-01,Hyderabad,mobile,data analitics online
A1318,Data Anlytics Corse,149.0,3410.0,181.12,20.0,4.0,2.684563758389262,1806.0,2024-11-17,Hyderabad,Desktop,learn data analytics
A1325,DataAnalyticsCourse,131.0,4228.0,230.18,16.0,9.0,6.870229007633588,1393.0,2024-11-07,Hyderabad,Desktop,data anaytics training
A1326,Data Analytics Corse,139.0,5120.0,199.3,24.0,5.0,3.597122302158273,1835.0,2024-11-23,Hyderabad,mobile,data analytics course
A1327,DataAnalyticsCourse,141.0,3600.0,227.54,20.0,6.0,4.25531914893617,1367.0,2024-11-07,Hyderabad,DESKTOP,learn data analytics
A1328,Data Anlytics Corse,175.0,5016.0,215.57,16.0,3.0,1.7142857142857144,1836.0,2024-11-07,Hyderabad,Tablet,learn data analytics
A1331,Data Analytics Corse,187.0,3115.0,184.61,12.0,3.0,1.6042780748663104,1324.0,2024-11-30,Hyderabad,MOBILE,learn data analytics
A1332,DataAnalyticsCourse,153.0,5886.0,218.33,29.0,3.0,1.9607843137254901,1424.0,2024-11-20,Hyderabad,MOBILE,analytics for data
A1335,Data Anlytics Corse,116.0,4519.0,184.29,23.0,7.0,6.0344827586206895,1070.0,2024-11-12,Hyderabad,Desktop,data anaytics training
A1340,Data Analytcis Course,155.0,5835.0,239.52,10.0,4.0,2.5806451612903225,1505.0,2024-11-13,Hyderabad,mobile,analytics for data
A1341,Data Anlytics Corse,100.0,4928.0,186.68,22.0,10.0,10.0,1071.0,2024-11-23,Hyderabad,Mobile,analytics for data
A1346,Data Analytics Corse,197.0,5365.0,208.86,14.0,4.0,2.030456852791878,1106.0,2024-11-01,Hyderabad,Tablet,data anaytics training
A1348,Data Anlytics Corse,117.0,3951.0,212.02,16.0,5.0,4.273504273504273,1949.0,2024-11-10,Hyderabad,Desktop,data anaytics training
A1349,Data Analytics Corse,198.0,3405.0,224.9,13.0,10.0,5.05050505050505,1631.0,2024-11-14,Hyderabad,Tablet,online data analytic
A1351,DataAnalyticsCourse,137.0,3602.0,194.55,23.0,5.0,3.64963503649635,1580.0,2024-11-02,Hyderabad,TABLET,data analytics course
A1352,Data Anlytics Corse,163.0,3917.0,209.01,10.0,3.0,1.8404907975460123,1823.0,2024-11-17,Hyderabad,TABLET,data anaytics training
A1357,Data Anlytics Corse,133.0,3064.0,221.8,22.0,5.0,3.7593984962406015,1538.0,2024-11-11,Hyderabad,mobile,learn data analytics
A1358,DataAnalyticsCourse,118.0,3730.0,207.5,25.0,8.0,6.779661016949152,1011.0,2024-11-12,Hyderabad,MOBILE,data anaytics training
A1363,Data Analytics Corse,89.0,5872.0,198.32,14.0,6.0,6.741573033707865,1553.0,2024-11-20,Hyderabad,mobile,online data analytic
A1365,DataAnalyticsCourse,88.0,3396.0,193.79,19.0,5.0,5.681818181818182,1860.0,2024-11-18,Hyderabad,Mobile,online data analytic
A1367,Data Anlytics Corse,194.0,4240.0,213.45,18.0,4.0,2.0618556701030926,1890.0,2024-11-23,Hyderabad,Tablet,data analitics online
A1373,Data Anlytics Corse,101.0,4883.0,237.89,11.0,6.0,5.9405940594059405,1368.0,2024-11-14,Hyderabad,DESKTOP,analytics for data
A1374,Data Analytics Corse,120.0,4618.0,200.91,18.0,7.0,5.833333333333333,1775.0,2024-11-02,Hyderabad,Tablet,data analitics online
A1378,Data Analytcis Course,198.0,4208.0,180.06,19.0,8.0,4.040404040404041,1462.0,2024-11-08,Hyderabad,MOBILE,data anaytics training
A1383,Data Anlytics Corse,161.0,4852.0,235.1,10.0,8.0,4.968944099378882,1738.0,2024-11-24,Hyderabad,DESKTOP,online data analytic
A1389,DataAnalyticsCourse,177.0,5965.0,199.7,28.0,3.0,1.694915254237288,1090.0,2024-11-13,Hyderabad,mobile,data analitics online
A1395,Data Analytcis Course,96.0,3761.0,196.45,10.0,5.0,5.208333333333334,1518.0,2024-11-30,Hyderabad,tablet,online data analytic
A1397,Data Anlytics Corse,179.0,3975.0,183.25,14.0,3.0,1.675977653631285,1505.0,2024-11-06,Hyderabad,TABLET,data analytics course
A1405,Data Anlytics Corse,144.0,5381.0,199.43,10.0,10.0,6.944444444444445,1085.0,2024-11-09,Hyderabad,Desktop,data anaytics training
A1407,Data Analytics Corse,146.0,3165.0,211.09,16.0,7.0,4.794520547945205,1706.0,2024-11-08,Hyderabad,MOBILE,learn data analytics
A1408,Data Anlytics Corse,114.0,5217.0,247.94,11.0,10.0,8.771929824561402,1876.0,2024-11-18,Hyderabad,desktop,data analitics online
A1410,Data Anlytics Corse,95.0,5971.0,214.57,29.0,10.0,10.526315789473683,1539.0,2024-11-16,Hyderabad,mobile,analytics for data
A1414,Data Analytcis Course,99.0,4040.0,215.57,13.0,5.0,5.05050505050505,1502.0,2024-11-26,Hyderabad,tablet,online data analytic
A1415,DataAnalyticsCourse,124.0,5956.0,201.44,12.0,9.0,7.258064516129033,1598.0,2024-11-24,Hyderabad,Tablet,data analitics online
A1418,Data Analytics Corse,81.0,3147.0,232.2,30.0,9.0,11.11111111111111,1066.0,2024-11-29,Hyderabad,MOBILE,data analytics course
A1422,Data Analytics Corse,81.0,3497.0,226.66,11.0,6.0,7.4074074074074066,1047.0,2024-11-19,Hyderabad,mobile,data analitics online
A1424,DataAnalyticsCourse,127.0,5018.0,194.25,17.0,8.0,6.299212598425196,1350.0,2024-11-21,Hyderabad,Mobile,data analitics online
A1427,Data Analytcis Course,118.0,3824.0,184.8,16.0,5.0,4.23728813559322,1818.0,2024-11-19,Hyderabad,DESKTOP,learn data analytics
A1430,Data Analytcis Course,142.0,3791.0,207.86,23.0,4.0,2.8169014084507045,1073.0,2024-11-20,Hyderabad,tablet,data analitics online
A1431,Data Analytics Corse,127.0,5198.0,242.56,26.0,6.0,4.724409448818897,1872.0,2024-11-16,Hyderabad,tablet,learn data analytics
A1433,Data Anlytics Corse,125.0,5435.0,202.65,25.0,5.0,4.0,1767.0,2024-11-23,Hyderabad,Desktop,online data analytic
A1435,Data Anlytics Corse,112.0,3850.0,233.52,14.0,8.0,7.142857142857142,1760.0,2024-11-22,Hyderabad,desktop,data analytics course
A1438,DataAnalyticsCourse,117.0,4367.0,233.27,24.0,3.0,2.564102564102564,1238.0,2024-11-24,Hyderabad,tablet,learn data analytics
A1439,Data Analytics Corse,100.0,5481.0,180.72,14.0,7.0,7.000000000000001,1185.0,2024-11-02,Hyderabad,DESKTOP,analytics for data
A1443,DataAnalyticsCourse,124.0,5353.0,239.69,13.0,4.0,3.225806451612903,1493.0,2024-11-19,Hyderabad,DESKTOP,learn data analytics
A1445,DataAnalyticsCourse,91.0,5104.0,211.85,29.0,9.0,9.89010989010989,1309.0,2024-11-16,Hyderabad,Tablet,data analytics course
A1447,Data Analytcis Course,115.0,4345.0,229.71,15.0,4.0,3.4782608695652173,1467.0,2024-11-26,Hyderabad,mobile,data analytics course
A1449,Data Analytics Corse,101.0,3330.0,209.8,19.0,10.0,9.900990099009901,1296.0,2024-11-14,Hyderabad,Mobile,data anaytics training
A1452,DataAnalyticsCourse,105.0,3008.0,206.91,21.0,4.0,3.8095238095238098,1009.0,2024-11-10,Hyderabad,Desktop,online data analytic
A1453,Data Analytcis Course,178.0,5318.0,207.05,18.0,4.0,2.247191011235955,1421.0,2024-11-20,Hyderabad,desktop,data analitics online
A1454,Data Analytcis Course,189.0,5244.0,242.18,29.0,3.0,1.5873015873015872,1080.0,2024-11-07,Hyderabad,Mobile,analytics for data
A1468,DataAnalyticsCourse,181.0,4507.0,208.33,22.0,8.0,4.41988950276243,1932.0,2024-11-05,Hyderabad,Tablet,online data analytic
A1474,Data Analytcis Course,139.0,4871.0,211.4,25.0,9.0,6.474820143884892,1247.0,2024-11-29,Hyderabad,Mobile,data anaytics training
A1483,Data Analytcis Course,136.0,5724.0,218.37,25.0,10.0,7.352941176470589,1268.0,2024-11-18,Hyderabad,desktop,data analytics course
A1486,Data Analytics Corse,173.0,5554.0,185.09,22.0,4.0,2.312138728323699,1000.0,2024-11-01,Hyderabad,Desktop,data analytics course
A1491,Data Anlytics Corse,80.0,4969.0,210.7,25.0,3.0,3.75,1146.0,2024-11-05,Hyderabad,TABLET,analytics for data
A1493,Data Anlytics Corse,90.0,5851.0,232.94,22.0,8.0,8.88888888888889,1421.0,2024-11-28,Hyderabad,Desktop,learn data analytics
A1498,DataAnalyticsCourse,188.0,4491.0,201.73,24.0,7.0,3.723404255319149,1906.0,2024-11-21,Hyderabad,mobile,online data analytic
A1504,Data Analytcis Course,123.0,3340.0,225.16,23.0,8.0,6.504065040650407,1563.0,2024-11-26,Hyderabad,MOBILE,online data analytic
A1505,DataAnalyticsCourse,97.0,3330.0,182.98,15.0,3.0,3.0927835051546393,1102.0,2024-11-14,Hyderabad,Tablet,data analitics online
